sentence1,sentence2,score
"Uskup Armidale
Peter Brain
berterus terang.","""Dia tidak punya banyak pilihan,"" kata Uskup Armidale
Peter Brain.",0.4
"Ketika beroperasi penuh
fasilitas ini diharapkan dapat mempekerjakan hingga 1.000 orang.","Pabrik ini akan mempekerjakan 1.000 orang ketika sudah selesai dibangun
kata perusahaan.",0.8
Indeks bioteknologi Bursa Efek Amerika .BTK melonjak 5 persen.,"Indeks semikonduktor Philadelphia Stock Exchange .SOXX melonjak 6,10 persen.",0.28
"""Saya sangat menyukainya dan saya masih menyukainya,"" kata Cohen Alon kepada Herald kemarin.","Dan saya sangat menyukainya
dan saya masih menyukainya.",0.64
"Untuk periode 12 bulan penuh yang berakhir pada tanggal 30 Juni 2003
sambungan layanan lanjutan untuk ADSL meningkat sebesar 37 persen dan sambungan modem kabel meningkat sebesar 75 persen.","Untuk periode 12 bulan yang berakhir pada tanggal 30 Juni
saluran berkecepatan tinggi yang dipasang di rumah-rumah dan bisnis meningkat sebesar 45 persen.",0.36
Komisaris Pendidikan Negara Bagian Kent King mengatakan pada hari Rabu bahwa nilai pada tes Program Penilaian Missouri mengecewakannya.,"Komisaris Pendidikan Missouri
Kent King
mengaku kecewa dengan hasil tersebut.",0.64
Agen menemukan lebih dari 1.000 kartu kredit dan mesin pengganda kartu kredit saat menggeledah alamat Ragin.,"Saat alamat Ragin digerebek
pihak berwenang menemukan lebih dari 1.000 kartu kredit dan mesin pengganda.",0.96
"Lowe's
dengan jumlah toko sekitar setengahnya
melaporkan peningkatan laba kuartal ketiga sebesar 33 persen di balik lonjakan 12 persen dalam penjualan di toko yang sama.",Home Depot melaporkan lonjakan 22 persen dalam laba kuartal ketiga di balik kenaikan hampir 8 persen dalam penjualan di toko yang sama.,0.28
Caldera mengakuisisi perangkat lunak server Unix dari SCO yang asli dan mengubah namanya menjadi SCO Group.,"SCO mengubah namanya menjadi Tarantella
dan Caldera kemudian mengubah namanya menjadi SCO Group.",0.52
"Petugas melemparkannya ke tanah dan memborgolnya
dan Reyna menjatuhkan lutut ke punggungnya
menurut kesaksian.","Saat itulah para petugas melemparkannya ke tanah dan memborgolnya
menurut kesaksian.",0.65
"Saham dengan kinerja terbaik adalah Altria Group Inc
yang naik lebih dari 27 persen dan ditutup pada $42,31 per saham.","Saham Altria Group Inc. MO.N turun 50 sen
atau 1,2 persen
menjadi $41,81.",0.35
"Para petugas sedang berusaha mengambil mayat-mayat tersebut dari dalam air,"" ujar perwira polisi J.D. Tambe kepada Reuters
seraya menambahkan bahwa 26 orang yang tewas adalah perempuan.","Para petugas sedang berusaha untuk mengambil mayat-mayat tersebut dari dalam air,"" kata pejabat polisi J.D. Tambe kepada Reuters.",0.6
"Menurut riset pasar dari The NPD Group
jumlah orang yang mengunduh musik turun dari 14,5 juta di bulan April menjadi 10,4 juta di bulan Juni.","Jumlah rumah tangga yang membeli musik turun dari angka tertinggi 14,5 juta di bulan April menjadi 12,7 juta di bulan Mei dan 10,4 juta di bulan Juni
menurut NPD.",0.7
"""Ini adalah kasus yang mudah dalam pandangan saya dan sepenuhnya tidak beralasan
baik secara faktual maupun hukum.""","""Kasus ini sama sekali tidak beralasan
baik secara faktual maupun hukum,"" Hakim Denny Chin mencemooh.",0.65
Layanan cuaca melaporkan angin maksimum yang berkelanjutan hampir 105 mil per jam dengan hembusan yang lebih kuat.,"Angin maksimum yang berkelanjutan sekitar 40 mph
dengan hembusan yang lebih kuat.",0.45
"Toilet WiFi akan diluncurkan pada musim panas ini
di festival-festival musik di Inggris.",Toilet portal pertama di dunia akan segera diluncurkan di festival musim panas di Inggris.,0.8
"Pria yang minum teh
terutama teh hijau
dapat mengurangi risiko kanker prostat secara signifikan
demikian hasil penelitian penting yang dilakukan oleh WA.","MINUM teh hijau secara dramatis dapat mengurangi risiko pria terkena kanker prostat
demikian hasil penelitian yang dilakukan oleh para peneliti Australia.",0.85
Para peramal cuaca mengatakan bahwa peringatan mungkin akan dikeluarkan untuk Kuba pada hari Kamis.,Peringatan dini atau peringatan mungkin akan dikeluarkan untuk Kuba bagian timur pada hari Kamis.,0.8
Syiah merupakan 20 persen dari populasi negara ini.,"Sunni terdiri dari 77 persen populasi Pakistan
sedangkan Syiah 20 persen.",0.6
"CWA
yang mewakili lebih dari 2.300 karyawan Comcast
menyebut hal itu berlebihan ketika seorang karyawan serikat pekerja umumnya berpenghasilan sekitar 27.000 dolar per tahun.","Serikat Pekerja Komunikasi
yang mewakili lebih dari 2.300 karyawan Comcast
menyebut paket gaji eksekutif itu berlebihan
padahal rata-rata karyawan serikat pekerja menghasilkan sekitar 27.000 dolar per tahun.",0.68
"Grup konsumer menghasilkan laba sebesar $4,47 miliar dan pendapatan sebesar $20 miliar dari bulan Januari hingga Juni
atau 53% dari laba dan pendapatan Citigroup.","Perusahaan ini menghasilkan laba sebesar $4,47 miliar dan pendapatan sebesar $20 miliar pada semester pertama tahun ini
53 persen dari total pendapatan Citigroup.",0.76
"GALLOWAY TOWNSHIP
N.J. Annika Sorenstam menarik perhatian banyak orang
Michelle Wie mendapatkan publisitas
tetapi Angela Stanford meraih kemenangan LPGA pertamanya.","GALLOWAY TOWNSHIP
N.J. >> Annika Sorenstam dan Michelle Wie menarik perhatian banyak orang
namun Angela Stanford meraih kemenangan LPGA pertamanya.",0.8
Penerbangan New York ke London dari British Airways akan berakhir pada bulan Oktober.,British Airways berencana untuk memensiunkan tujuh pesawat Concorde pada akhir Oktober.,0.5
"Kebijakan baru ini memberikan bobot terbesar pada nilai
nilai ujian
dan kurikulum sekolah menengah siswa.","Prestasi akademik - termasuk nilai
nilai ujian
dan kurikulum sekolah menengah atas - diberikan prioritas tertinggi.",0.9
"Versi baru
W32/Sobig.C-mm
telah mencapai status wabah ""tingkat tinggi"" pada hari Senin
menurut analis keamanan.","Analis keamanan mengatakan bahwa versi baru
W32/Sobig.C-mm
telah mencapai status wabah ""tingkat tinggi"" pada Senin sore.",0.9
"Satu-satunya orang lain yang belum ditemukan pada hari Minggu adalah seorang pria dari Fort Worth
Texas.","Satu orang lainnya
seorang pria dari Fort Worth
Texas
juga hilang.",0.72
"Indeks Standard & Poor's 500 yang lebih luas <.SPX> turun 11,91 poin
atau 1,19%
menjadi 986,60.","Indeks Komposit Nasdaq yang terkait dengan teknologi
IXIC
turun 16,68 poin
atau 1,01 persen
menjadi 1.636,94.",0.16
"Para anggota AFTRA menyetujui penggabungan tersebut dengan suara 75,88% berbanding 24,12%.","Di sisi lain
AFTRA menyetujui merger tersebut dengan suara 75 persen.",0.82
"Mata uang ini sedikit melemah pada hari Senin dan diperdagangkan pada 55.34/39
tidak jauh dari rekor terendahnya di 55.75.","Mata uang ini sempat melemah pada Senin pagi namun rebound dan diperdagangkan pada 55,25/29
sedikit berubah dari hari Jumat.",0.45
"Sementara beberapa wilayah lain di Afrika telah digunakan sebagai tempat pementasan kelompok teror tersebut
Malawi sebelumnya tidak pernah menjadi fokus utama investigasi al-Qaida.","Sementara beberapa wilayah lain di Afrika telah digunakan sebagai tempat pementasan Al Qaeda
Malawi sebelumnya tidak menjadi fokus utama investigasi terhadap kelompok tersebut.",1.0
"Pada hari Minggu
seorang tentara AS tewas dan seorang lainnya terluka di Irak selatan ketika tempat pembuangan amunisi meledak.","Pada hari Minggu
seorang tentara AS tewas dan seorang lainnya terluka ketika tempat pembuangan amunisi yang mereka jaga meledak di Irak selatan.",0.75
"""Saya sangat senang bisa menjadi pemain Cleveland Cavalier,"" kata James.","""Saya sangat bersemangat untuk pergi ke Cleveland,"" kata James kepada ESPN.com.",0.73
"Menurut aparat penegak hukum
orang yang ditangkap adalah peretas yang dikenal canggih.","Menurut aparat penegak hukum
individu tersebut mendekripsi kata sandi di server.",0.53
"Tidak termasuk biaya litigasi
kerugian RIM semakin menyempit menjadi 1 sen per saham.","Tidak termasuk litigasi paten
kerugian RIM untuk kuartal ini adalah sebesar $700.000
atau 1 persen per saham.",0.67
"Indeks Standard & Poor's 500 Index .SPX naik 19,72 poin
atau 1,98 persen
menjadi 1.015,69.","Indeks Dow Jones Industrial Average .DJI melonjak 2,09%
sementara Indeks Standard & Poor's 500 .SPX melompat 2,23%.",0.6
"Hal ini juga akan membantu mereformasi Kepolisian Kerajaan Kepulauan Solomon
memperkuat sistem pengadilan dan penjara
serta melindungi lembaga-lembaga utama seperti Kementerian Keuangan dari intimidasi.","Pasukan intervensi akan menyita senjata
mereformasi kepolisian
memperkuat pengadilan dan sistem penjara
serta melindungi lembaga-lembaga kunci seperti Kementerian Keuangan.",0.69
"Mr Alibek berkata: ""Hasil yang kami peroleh sangat menggembirakan.","""Hasil penelitian kami sangat menggembirakan,"" ujar peneliti dari George Mason
Ken Alibek.",0.76
"Juri memvonis rapper C-Murder
yang juga dikenal sebagai Corey Miller
atas tuduhan pembunuhan tingkat dua pada Selasa malam dalam kasus penembakan yang menewaskan seorang anak berusia 16 tahun di klub malam Jefferson Parish.","Rapper C-Murder telah divonis bersalah atas pembunuhan tingkat dua
sebuah kejahatan yang dapat dijatuhi hukuman seumur hidup
dalam kasus penembakan yang menewaskan seorang anak berusia 16 tahun di dalam klub malam Jefferson Parish.",0.72
Serial Wells yang lain termasuk ER dan Third Watch dari NBC.,"Serial Wells lainnya termasuk ""ER"" dan ""Third Watch"" dari NBC.",1.0
"Tiga puluh tiga dari 42 orang tersebut telah ditangkap pada Rabu malam
kata Daniel Bogden
jaksa penuntut AS di Nevada.","Tiga puluh empat orang telah ditangkap dan yang lainnya sedang dicari
kata Jaksa AS Daniel Bogden kemarin.",0.6
"Pemenang lima kali Tour de France dan penyintas kanker Lance Armstrong memberikan beberapa nasihat kepada para penyintas kanker lainnya di Denver
Jumat lalu.","Pemenang lima kali Tour de France
Lance Armstrong
hari ini berada di Denver untuk menghadiri sebuah pertemuan mengenai perjuangan melawan kanker.",0.68
Polisi yang menggunakan semprotan merica menangkap 12 orang pada Senin malam dalam sebuah pawai dan unjuk rasa yang dilakukan oleh sekitar 400 aktivis yang memprotes seminar pelatihan tahunan Unit Intelijen Penegakan Hukum.,Polisi menggunakan semprotan merica dan peluru karet untuk membubarkan pawai dan unjuk rasa di pusat kota semalam oleh para aktivis yang memprotes seminar pelatihan intelijen tahunan polisi.,0.72
"Departemen memerintahkan pengurangan 18,2 persen untuk Allstate Texas Lloyds dan pengurangan 12 persen untuk State Farm Lloyds.","Departemen memerintahkan pengurangan 12 persen untuk State Farm Lloyds
perusahaan asuransi terbesar di negara bagian tersebut
dan pengurangan 18,2 persen untuk Allstate Texas Lloyds
yang merupakan perusahaan asuransi terbesar ketiga.",0.72
"Saham Colgate ditutup pada hari Senin pada harga $56,30 di New York Stock Exchange.",Saham Colgate turun 30 sen menjadi $56 pada perdagangan pagi hari di New York Stock Exchange.,0.48
"Beberapa tembakan terdengar dalam kegelapan
tetapi hanya satu buaya yang terbunuh pada pukul 11 malam.","Beberapa tembakan terdengar pada Rabu malam
namun tidak ada buaya yang terbunuh saat itu.",0.48
"Indeks Standard & Poor's 500 yang lebih luas <.SPX> adalah 0,46 poin lebih rendah
atau 0,05 persen
pada 997,02.","Indeks Komposit Nasdaq yang terkait dengan teknologi
IXIC
naik 7,42 poin
atau 0,45 persen
pada 1.653,44.",0.18
"Partai Republik telah berjanji untuk menyelesaikan paket obat Medicare pada bulan Agustus
kemudian memperpanjang tenggat waktu hingga 17 Oktober
dan mereka masih mengusahakannya.","Partai Republik telah berjanji untuk menyelesaikan paket obat Medicare pada bulan Agustus
kemudian memperpanjangnya hingga 17 Oktober.",0.95
"Indeks
yang mengukur aktivitas di sektor jasa
naik menjadi 50,7 bulan lalu dari 47,9 di bulan Maret.","ISM yang berbasis di Arizona melaporkan pada hari Senin bahwa indeks non-manufakturnya naik menjadi 50,7 bulan lalu
dari 47,9 di bulan Maret.",0.7
"Bush berencana untuk bertemu dengan Perdana Menteri Israel Ariel Sharon dan Perdana Menteri Palestina yang baru
Mahmoud Abbas
di pelabuhan Aqaba
Yordania
pada hari Rabu.","Pada hari Rabu pekan depan
Bush akan bertemu dengan Perdana Menteri Israel Ariel Sharon dan pemimpin baru Palestina Mahmoud Abbas di Aqaba
Yordania.",1.0
"""Tidak seperti banyak perusahaan Internet tahap awal
Google diyakini akan menguntungkan.",Google yang dimiliki secara pribadi diyakini akan menguntungkan.,0.72
"""Bisa diasumsikan bahwa Senat siap untuk meloloskan beberapa bentuk pembatasan,"" kata King.",Bisa diasumsikan bahwa Senat siap untuk meloloskan suatu bentuk pembatasan .... Tingkatnya masih harus diperdebatkan.,0.6
"Dan ketika ditanya apakah dia merasa menyesal atau bersalah atas serangan itu
jawabannya adalah ""tidak"".","Ketika ditanya apakah ia merasa menyesal dengan serangan 12 Oktober
jawabannya adalah ""tidak"".",0.76
"Peraih keuntungan besar lainnya adalah Rambus Inc (nasdaq: RMBS - news - people)
yang melonjak 32 persen lebih tinggi.","Rambus Inc (nasdaq: RMBS - news - people) melonjak 38%
menjadikannya peraih persentase keuntungan terbesar di Nasdaq.",0.6
Russ Britt adalah Kepala Biro Los Angeles untuk CBS.MarketWatch.com.,Emily Church adalah kepala biro London CBS.MarketWatch.com.,0.36
"""Jika Anda meloloskan RUU ini
Big Brother akan mengawasi Anda,"" kata Rep. John Mabry
D-Waco.","""Jika Anda meloloskan RUU ini,"" ujar Rep. John Mabry Jr. dari D-Waco
kepada para koleganya
""Big Brother akan mengawasi Anda.""",0.96
"Douglas Robinson
wakil presiden senior bidang keuangan
akan mengambil alih jabatan sebagai chief financial officer untuk sementara waktu.","Douglas Robinson
CA senior vice president
keuangan
akan mengisi posisi tersebut untuk sementara waktu.",0.76
Beberapa negara bagian dan pemerintah federal kemudian mengeluarkan larangan serupa atau yang lebih ketat.,"Mengikuti langkah California
beberapa negara bagian dan pemerintah federal mengeluarkan larangan yang serupa atau lebih ketat.",0.8
"Namun
ia mencatat bahwa Miami harus memutuskan apakah akan mencari keanggotaan ACC untuk tahun ajaran berikutnya paling lambat 30 Juni untuk mematuhi pedoman Big East.","Namun
dia mencatat bahwa Miami harus memutuskan apakah akan mencari keanggotaan A.C.C. pada 30 Juni untuk mematuhi pedoman Big East.",0.92
"Pendapatan ""The Hulk"" jauh di bawah pendapatan film adaptasi Marvel Comics bulan lalu
""X2: X-Men United,"" yang meraup 85,6 juta dolar AS pada akhir pekan pembukaannya.","Hulk membuntuti film adaptasi Marvel Comics bulan lalu
X2: X-Men United
yang meraup $85,6 juta pada akhir pekan pembukaannya.",0.96
"Saham EchoStar yang berbasis di Littleton
Colorado
naik $1,63
atau 5,3%
menjadi $32,26 pada pukul 10:55 pagi.","Pada hari Senin
saham EchoStar (DISH: berita
grafik
profil) menyusut $1,40
atau 4,4%
menjadi $30,63.",0.4
Tanda tangan yang sah dari 897.158 pemilih yang terdaftar di California harus dikumpulkan dan diserahkan kepada petugas pemilihan umum pada tanggal 2 September.,"Untuk memaksakan pemilihan ulang terhadap Davis
tanda tangan sah dari 897.158 pemilih California yang terdaftar harus diserahkan kepada petugas pemilu.",0.64
"Obligasi acuan 10 tahun US10YT = RR turun 11/32 pada harga
membawa imbal hasilnya menjadi 3,21% dari 3,17% pada hari Senin.","Lebih jauh di luar kurva
harga obligasi acuan 10 tahun US10YT = RR turun 18/32
membawa imbal hasilnya menjadi 3,24% dari 3,17%.",0.44
MDC menyebut pemogokan ini sebagai upaya untuk memaksa Mugabe mengundurkan diri atau menegosiasikan penyelesaian krisis Zimbabwe.,MDC menyerukan protes selama seminggu untuk mendesak Mugabe mengundurkan diri atau merundingkan penyelesaian krisis yang mencengkeram negara tersebut.,0.8
"Pendapatan naik 3,9 persen
menjadi $1,63 miliar dari $1,57 miliar.","Perusahaan yang berbasis di McLean
Virginia ini mengatakan bahwa pendapatan surat kabar meningkat 5% menjadi $1,46 miliar.",0.24
"Pada bulan Januari 2000
notebook mewakili kurang dari 25 persen volume penjualan.","Hal ini dibandingkan dengan bulan Januari 2000
ketika laptop mewakili kurang dari 25 persen volume penjualan
kata NPD.",0.8
"Pemain Argentina
Guillermo Coria dan pemain Belanda
Martin Verkerk
berada di babak kedua.",Semifinal lainnya antara Guillermo Coria dari Argentina dan Martin Verkerk dari Belanda juga tidak kalah menarik.,0.6
"""Apa yang bisa saya katakan kepada Anda?"" katanya kepada kerumunan orang di sebuah pemakaman dengan seribu nisan
banyak di antaranya menandai makam seluruh keluarga.","Powell bercerita kepada kerumunan orang di sebuah pemakaman dengan seribu nisan
banyak di antaranya menandai makam seluruh keluarga.",0.56
"Dia hanya memiliki satu syarat
yaitu agar buku tersebut tidak diterbitkan sampai kematiannya.","Namun
dia bersikeras agar karya tersebut tidak dipublikasikan sampai setelah kematiannya.",0.88
Temuan ini dipublikasikan dalam jurnal Nature edisi 6 November.,"Kedua studi tersebut dipublikasikan pada hari Kamis di Nature
jurnal sains mingguan Inggris.",0.52
"Median pendapatan rumah tangga turun 1,1 persen antara tahun 2001 dan 2002 menjadi $42.409
setelah memperhitungkan inflasi.","Survei yang sama menemukan bahwa rata-rata pendapatan rumah tangga naik sebesar $51
jika memperhitungkan inflasi
menjadi $43.057.",0.28
"Para pemimpin AS dan Eropa pada hari Rabu berjanji untuk bekerja sama dalam mencegah Iran mengembangkan senjata nuklir
menghadirkan front persatuan setelah berbulan-bulan bersitegang mengenai Irak.","Bush mengatakan bahwa para pemimpin AS dan Uni Eropa
dalam pertemuan tahunan di Washington
sepakat mengenai perlunya mencegah Iran mengembangkan senjata nuklir.",0.64
Dia meninggalkan militer dan pergi ke Suriah di mana dia menerima pelatihan agama.,"Dia pindah ke Suriah
di mana dia menjalani pelatihan agama lebih lanjut dalam kepercayaan Islam tradisional.",0.6
"Pertemuan tersebut dijadwalkan berakhir pada Rabu malam
dengan para peserta menyetujui resolusi yang mengekspresikan pandangan denominasi tentang berbagai isu tetapi tidak mengikat gereja-gereja.","Pada hari Rabu
para peserta akan memberikan suara pada resolusi yang mengekspresikan pandangan Southern Baptist tentang berbagai isu
tetapi tidak mengikat gereja-gereja secara individu.",0.65
"Namun
kinerja siswa yang tidak memadai di berbagai subkelompok membuat negara bagian ini dianggap tidak memenuhi syarat di bawah undang-undang federal No Child Left Behind.","Namun
kinerja siswa yang tidak memadai dalam berbagai subkelompok
seperti ras
mendorong negara bagian tersebut masuk ke dalam daftar kebutuhan perbaikan di bawah Undang-Undang No Child Left Behind.",0.8
"Hal ini berujung pada ditemukannya altar Cancuen seberat 270 kilogram
yang diumumkan pada hari Rabu oleh Universitas Vanderbilt di Nashville dan National Geographic Society.","Hal ini menyebabkan bulan lalu pemulihan altar Cancun seberat 600 pon
demikian diumumkan oleh Vanderbilt University di Nashville dan National Geographic Society pada hari Rabu.",0.65
"Dalam sebuah sindiran yang tidak terlalu halus kepada Dean
ia meramalkan bahwa orang Amerika tidak akan memilih seorang Demokrat ""yang membunyikan sangkakala yang tidak pasti di saat-saat yang berbahaya ini.""","Mereka tidak akan memilih seorang Demokrat sebagai presiden yang membunyikan terompet yang tidak pasti di masa-masa yang berbahaya ini.""",0.7
"Laporan tersebut memperkirakan akan ada 71.079 titik api di seluruh dunia tahun ini
naik dari hanya 14.752 titik api di tahun 2002 dan 1.214 titik api di tahun 2001.","Laporan tersebut juga mengklaim bahwa akan ada hingga 9,3 juta pengunjung ke hot spot tahun ini
naik lagi dari 2,5 juta pengunjung pada tahun 2002.",0.35
"Sebuah penelitian baru
yang dilakukan di Eropa
menemukan bahwa obat tersebut bekerja sama baiknya dengan penelitian sebelumnya yang masih diperdebatkan
yang disponsori oleh ImClone Systems
yang mengatakan bahwa obat tersebut bekerja dengan baik.","Para dokter menyimpulkan bahwa Erbitux
obat kanker yang menjerat ImClone Systems dalam skandal perdagangan orang dalam
bekerja dengan baik seperti yang dikatakan oleh penelitian sebelumnya yang disponsori oleh perusahaan.",0.54
"Pengacaranya
Donald Levine
mengatakan kepada The Telegraph bahwa ia telah ditawari $US250.000 untuk menceritakan kisahnya secara eksklusif kepada TV Australia.",Levine mengatakan bahwa ia pernah ditawari $400.000 untuk menceritakan kisahnya kepada sebuah jaringan TV Australia.,0.75
Perry telah memanggil anggota parlemen dalam dua sesi khusus untuk membahas redistribusi kongres.,"Sejak saat itu
Perry telah mengadakan dua sesi legislatif khusus untuk mencoba memaksakan rencana redistricting.",0.75
Para pejabat AirTran dan seorang pejabat Boeing menolak berkomentar kemarin.,"Trish York
juru bicara Boeing
menolak berkomentar mengenai kesepakatan tersebut.",0.8
"Gugatan tersebut menyebutkan nama Shelley
seorang anggota Partai Demokrat
dan para pendaftar di wilayah Los Angeles
Orange
dan San Diego.","Gugatan tersebut menyebut nama Sekretaris Negara Bagian Kevin Shelley
seorang anggota Partai Demokrat
dan para pendaftar pemilih di wilayah Los Angeles
Orange
dan San Diego.",0.84
Para negosiator mengatakan pada hari Jumat bahwa mereka telah membuat kemajuan yang baik dalam putaran pembicaraan terakhir mereka untuk menciptakan Perjanjian Perdagangan Bebas Amerika Tengah.,Para negosiator mengatakan pada hari Jumat bahwa mereka telah mencapai kemajuan dalam putaran negosiasi perdagangan bebas terbaru antara Amerika Serikat dan lima negara Amerika Tengah minggu ini di Houston.,0.75
"""Sangat sulit untuk melakukan pinjaman sindikasi dalam jumlah besar di Jepang,"" di mana terdapat kekurangan tenaga ahli
kata seorang bankir.","""Sangat sulit untuk melakukan pinjaman sindikasi dalam jumlah besar di Jepang,"" kata seorang bankir.",0.76
Kasus ini berasal dari Illinois dan melibatkan sebuah perusahaan nirlaba bernama Telemarketing Associates Inc.,"Kasus yang diputuskan pada hari Senin ini berpusat di sekitar penggalangan dana di Illinois
Telemarketing Associates.",0.88
"Ia mendesak Kongres untuk ""mengirimkan rancangan undang-undang final kepada saya sesegera mungkin agar saya dapat menandatanganinya menjadi undang-undang.""","""Saya mendesak Kongres untuk segera menyelesaikan perbedaan-perbedaan yang ada dan mengirimkan kepada saya rancangan undang-undang yang sudah final agar saya dapat menandatanganinya menjadi undang-undang,"" katanya.",0.92
"Pingeon adalah direktur litigasi untuk Massachusetts Correctional Legal Services
sebuah kelompok hak-hak narapidana.","Pingeon mengatakan bahwa seorang pengacara dari organisasinya
Massachusetts Correctional Legal Services
mewawancarai Assan pada hari Selasa.",0.33
"Yee adalah lulusan tahun 1990 dari Akademi Militer AS di West Point
New York.",Yee dibesarkan di Amerika Serikat dan lulus dari Akademi Militer AS di West Point.,0.8
"""PNC menyesalkan keterlibatannya"" dalam transaksi tersebut
kata Chairman dan Chief Executive Officer James Rohr dalam sebuah pernyataan.","James Rohr
chairman dan chief executive officer
mengatakan bahwa PNC menyesalkan kejadian tersebut.",0.87
"CCAG mendukung Bill Curry
lawan Rowland dalam pemilihan gubernur tahun 2002.","Kelompok Swan mendukung lawan gubernur dari Partai Demokrat
Bill Curry
dalam pemilihan tahun 2002.",0.6
Mereka kemudian berselisih dan telah mendukung serangkaian milisi Kongo dalam beberapa tahun terakhir.,"Kedua negara yang menginvasi kemudian berselisih
dan sejak saat itu mendukung faksi-faksi yang bersaing.",0.7
Ada juga yang mengatakan bahwa anggotanya akan terus menelepon lebih dari 50 juta nomor telepon yang ada dalam daftar Komisi Perdagangan Federal.,"Sementara itu
Asosiasi Pemasaran Langsung mengatakan bahwa anggotanya tidak boleh menelepon hampir 51 juta nomor yang ada dalam daftar.",0.4
Penghibur veteran Bob Hope merayakan ulang tahunnya yang ke-100 - dan bertahun-tahun berkecimpung di dunia hiburan - pada hari Kamis.,Hollywood dan dunia bersiap-siap untuk merayakan ulang tahun ke-100 penghibur legendaris Bob Hope pada hari Kamis.,0.75
Saham-saham yang mengalami penurunan mengalahkan saham-saham yang mengalami kenaikan hampir 2 banding 1 di Bursa Efek New York.,Advancers mengungguli decliners hampir 8 banding 3 di NYSE dan lebih dari 11 banding 5 di Nasdaq.,0.36
"Sebuah lapangan terbang terapung dengan dek penerbangan seluas 4,5 hektar
kapal ini membutuhkan waktu sekitar lima tahun untuk membangunnya.","Reagan
sebuah lapangan terbang terapung dengan dek penerbangan seluas 4,5 hektar
adalah kapal induk kelas Nimitz kesembilan yang dibangun di galangan kapal Newport News.",0.53
"Saya sangat bangga dengan warga negara bagian ini
kata Gubernur John Baldacci
seorang penentang kasino.","""Saya sangat bangga dengan warga negara bagian ini,"" ujar Gubernur John Baldacci setelah penghitungan suara dari referendum hari Selasa.",0.76
Seorang rekan kerja wanita yang terluka juga dirawat di rumah sakit dan terdaftar dalam kondisi baik.,"Seorang wanita tercatat dalam kondisi baik di kampus Memorial's HealthPark
katanya.",0.44
"Korban penembakan dibawa ke Kings County Hospital Center
di mana ia kemudian meninggal dunia
kata polisi.","Korban
yang tidak diidentifikasi
dibawa ke Rumah Sakit Kings County di mana ia dinyatakan meninggal dunia.",0.87
"Mereka melaporkan gejala demam
sakit kepala
ruam dan nyeri otot.","Gejalanya meliputi leher kaku
demam
sakit kepala
dan kepekaan terhadap cahaya.",0.47
"""Kami menjadi seperti orang asing,"" Klein mengutip perkataannya.","""Kami menjadi seperti orang asing,"" kata John kepada seorang sahabatnya dua hari sebelum kematiannya.",0.65
"Davey lulus pada hari Sabtu dari Northwest College
yang berafiliasi dengan Assemblies of God
dengan gelar sarjana seni dalam bidang agama dan filsafat.","Davey mulai kuliah di Northwest College
yang berafiliasi dengan Assemblies of God
pada tahun 1999 dengan rencana untuk menjadi seorang pendeta.",0.45
"Indeks Komposit Nasdaq yang terkait dengan teknologi
IXIC
turun 23,54 poin
atau 1,42 persen
menjadi 1.630,08.","Indeks Standard & Poor's 500 yang lebih luas
yaitu SPX
turun 11,91 poin
atau 1,19 persen
menjadi 986,60.",0.15
"""Ini adalah uji coba terakhir sebelum mengirimkan rudal ke angkatan bersenjata.",Radio pemerintah mengatakan bahwa ini adalah uji coba terakhir sebelum rudal tersebut dikirim ke angkatan bersenjata.,0.8
"""Penarikan Anda dari negara kami tidak dapat dihindari
apakah itu terjadi hari ini atau besok
dan besok akan segera tiba.""","""Penarikan Anda dari negara kami tidak dapat dihindari
apakah itu terjadi hari ini atau besok,"" tambah suara tersebut
yang memberikan tanggal sebagai ""pertengahan September.""",0.7
"Menurut rilis berita yang dikirim oleh Terry Schindler-Schiavo Foundation
Ketua DPR Florida Johnnie Byrd akan memperkenalkan ""Terri's Bill"" dalam sesi khusus pada hari Senin.","Ketua DPR Florida Johnnie Byrd
diperkirakan akan memperkenalkan ""RUU Terri"" dalam sesi khusus satu hari di badan legislatif negara bagian yang diadakan hari ini di Tallahassee.",0.75
"Selain itu
bisnis di seluruh Utah secara sukarela menampilkan peringatan Amber pada rambu-rambu mereka.",Perusahaan lain secara sukarela memasang peringatan di rambu-rambu elektronik dan papan reklame mereka.,0.75
"Berkat kenaikan euro terhadap mata uang Jepang
dolar berada di 117,24 yen
jauh di atas level terendah 10 bulan di 116 yen.","Kenaikan euro terhadap yen dan spekulasi intervensi Jepang membantu dolar menguat ke 117,25 yen
jauh di atas level terendah 10 bulan di 116 yen yang dicapai pada hari Kamis.",0.85
"Saham-saham Rusia jatuh setelah penangkapan Mikhail Khodorkovsky
kepala eksekutif Yukos Oil
pada hari Sabtu lalu
atas tuduhan penipuan dan penghindaran pajak.","Penangkapan orang terkaya Rusia
Mikhail Khodorkovsky
kepala eksekutif perusahaan minyak YUKOS
pada akhir pekan lalu atas tuduhan penipuan dan penghindaran pajak telah mengguncang pasar keuangan.",0.8
"Untuk tahun ini
mereka menargetkan penjualan sebesar $94 juta dan laba 26 sen per saham dari operasi yang berkelanjutan.","Ini merupakan peningkatan dari $22,5 juta dan 5 sen per saham yang diperkirakan sebelumnya.",0.15
